run_id,setup_duration,work_duration,operations,dummy_rows,benchmark_name
1,0,2000,632,0,insert_small
2,0,2003,660,0,insert_small
3,0,2000,650,0,insert_small
4,0,2002,658,0,insert_small
5,0,2002,643,0,insert_small
6,0,10003,3299,0,insert_small
7,0,10002,3311,0,insert_small
8,0,10002,3253,0,insert_small
9,0,10002,3273,0,insert_small
10,0,10001,3286,0,insert_small
11,0,10000,3300,0,insert_small
12,0,10002,3333,0,insert_small
13,0,10001,3296,0,insert_small
14,0,10000,3229,0,insert_small
15,0,10001,3261,0,insert_small
16,0,2000,665,0,insert_deep
17,0,2002,627,0,insert_deep
18,0,2001,643,0,insert_deep
19,0,2000,640,0,insert_deep
20,0,2001,612,0,insert_deep
21,0,10000,3122,0,insert_deep
22,0,10000,2924,0,insert_deep
23,0,10002,3213,0,insert_deep
24,0,10002,3218,0,insert_deep
25,0,10000,3314,0,insert_deep
26,0,10002,3236,0,insert_deep
27,0,10001,3200,0,insert_deep
28,0,10002,3179,0,insert_deep
29,0,10003,3223,0,insert_deep
30,0,10000,3288,0,insert_deep
31,0,2001,580,0,insert_long
32,0,2000,583,0,insert_long
33,0,2002,602,0,insert_long
34,0,2001,605,0,insert_long
35,0,2003,606,0,insert_long
36,0,10000,2807,0,insert_long
37,0,10001,2976,0,insert_long
38,0,10002,3045,0,insert_long
39,0,10003,3030,0,insert_long
40,0,10000,3042,0,insert_long
41,0,10002,2991,0,insert_long
42,0,10003,2946,0,insert_long
43,0,10002,2890,0,insert_long
44,0,10003,3069,0,insert_long
45,0,10001,3109,0,insert_long
46,0,5000,4325,1000,query_uuid
47,0,5000,4317,1000,query_uuid
48,0,5001,4286,1000,query_uuid
49,0,5000,4352,1000,query_uuid
50,0,5000,4322,1000,query_uuid
51,0,5001,673,10000,query_uuid
52,0,5007,679,10000,query_uuid
53,0,5002,683,10000,query_uuid
54,0,5005,684,10000,query_uuid
55,0,5004,675,10000,query_uuid
56,0,5022,70,100000,query_uuid
57,0,5005,71,100000,query_uuid
58,0,5000,71,100000,query_uuid
59,0,5001,71,100000,query_uuid
60,0,5067,72,100000,query_uuid
61,0,5002,491,10000,query_deep_uuid
62,0,5004,494,10000,query_deep_uuid
63,0,5009,495,10000,query_deep_uuid
64,0,5001,485,10000,query_deep_uuid
65,0,5004,479,10000,query_deep_uuid
66,0,5014,232,10000,query_like
67,0,5015,235,10000,query_like
68,0,5020,237,10000,query_like
69,0,5001,238,10000,query_like
70,0,5007,236,10000,query_like
